gold_table,gold_column,data_type,silver_table,silver_column,transformation,transformation_logic
qx_ppmtx_gold_fact_defect,defect_type,STRING,qx_ppmtx_defect_report,defect_type,DIRECT_COPY,defect_type
qx_ppmtx_gold_fact_defect,defect,STRING,qx_ppmtx_defect_report,defect,DIRECT_COPY,defect
qx_ppmtx_gold_fact_defect,defect_item,DECIMAL,qx_ppmtx_defect_report,defect_item,DIRECT_COPY,defect_item
qx_ppmtx_gold_fact_defect,status,STRING,qx_ppmtx_defect_report,status,DIRECT_COPY,status
qx_ppmtx_gold_fact_defect,defect_description,STRING,qx_ppmtx_defect_report,defect_description,DIRECT_COPY,defect_description
qx_ppmtx_gold_fact_defect,defect_category,STRING,qx_ppmtx_defect_report,defect_category,DIRECT_COPY,defect_category
qx_ppmtx_gold_fact_defect,resolution_description,STRING,qx_ppmtx_defect_report,resolution_description,DIRECT_COPY,resolution_description
qx_ppmtx_gold_fact_defect,resolution_category,STRING,qx_ppmtx_defect_report,resolution_category,DIRECT_COPY,resolution_category
qx_ppmtx_gold_fact_defect,delay,STRING,qx_ppmtx_defect_report,delay,DIRECT_COPY,delay
qx_ppmtx_gold_fact_defect,delays_hours,DECIMAL,qx_ppmtx_defect_report,delays_hours,DIRECT_COPY,delays_hours
qx_ppmtx_gold_fact_defect,delay_minutes,DECIMAL,qx_ppmtx_defect_report,delay_minutes,DIRECT_COPY,delay_minutes
qx_ppmtx_gold_fact_defect,cancellation,STRING,qx_ppmtx_defect_report,cancellation,DIRECT_COPY,cancellation
qx_ppmtx_gold_fact_defect,i_f_s_d,STRING,qx_ppmtx_defect_report,i_f_s_d,DIRECT_COPY,i_f_s_d
qx_ppmtx_gold_fact_defect,fuel,DECIMAL,qx_ppmtx_defect_report,fuel,DIRECT_COPY,fuel
qx_ppmtx_gold_fact_defect,mel,STRING,qx_ppmtx_defect_report,mel,DIRECT_COPY,mel
qx_ppmtx_gold_fact_defect,mel_number,STRING,qx_ppmtx_defect_report,mel_number,DIRECT_COPY,mel_number
qx_ppmtx_gold_fact_defect,defer,STRING,qx_ppmtx_defect_report,defer,DIRECT_COPY,defer
qx_ppmtx_gold_fact_defect,fault_confirm,STRING,qx_ppmtx_defect_report,fault_confirm,DIRECT_COPY,fault_confirm
qx_ppmtx_gold_fact_defect,wo,DECIMAL,qx_ppmtx_defect_report,wo,DIRECT_COPY,wo
qx_ppmtx_gold_fact_defect,flight,STRING,qx_ppmtx_defect_report,flight,DIRECT_COPY,flight
qx_ppmtx_gold_bridge_defect_part,bridge_defect_part_key,BIGINT,qx_ppmtx_defect_report_pn,defect,GENERATED,"HASH(defect_type, defect, defect_item, item)"
qx_ppmtx_gold_bridge_defect_part,dim_part_key,BIGINT,qx_ppmtx_defect_report_pn,pn,LOOKUP,"JOIN dim_part ON pn"
qx_ppmtx_gold_bridge_defect_part,defect_type,STRING,qx_ppmtx_defect_report_pn,defect_type,DIRECT_COPY,defect_type
qx_ppmtx_gold_bridge_defect_part,defect,STRING,qx_ppmtx_defect_report_pn,defect,DIRECT_COPY,defect
qx_ppmtx_gold_bridge_defect_part,defect_item,DECIMAL,qx_ppmtx_defect_report_pn,defect_item,DIRECT_COPY,defect_item
qx_ppmtx_gold_bridge_defect_part,item,DECIMAL,qx_ppmtx_defect_report_pn,item,DIRECT_COPY,item
qx_ppmtx_gold_bridge_defect_part,qty,DECIMAL,qx_ppmtx_defect_report_pn,qty,DIRECT_COPY,qty
qx_ppmtx_gold_bridge_defect_part,qty_reserved,DECIMAL,qx_ppmtx_defect_report_pn,qty_reserved,DIRECT_COPY,qty_reserved
qx_ppmtx_gold_bridge_defect_part,spare,STRING,qx_ppmtx_defect_report_pn,spare,DIRECT_COPY,spare
qx_ppmtx_gold_bridge_defect_part,ipc,STRING,qx_ppmtx_defect_report_pn,ipc,DIRECT_COPY,ipc
qx_ppmtx_gold_bridge_defect_part,reserved,STRING,qx_ppmtx_defect_report_pn,reserved,DIRECT_COPY,reserved
qx_ppmtx_gold_fact_inventory_transaction,fact_inventory_transaction_key,BIGINT,qx_ppmtx_pn_inventory_history,transaction_no,GENERATED,"HASH(transaction_no, batch)"
qx_ppmtx_gold_fact_inventory_transaction,dim_part_key,BIGINT,qx_ppmtx_pn_inventory_history,pn,LOOKUP,"JOIN dim_part ON pn"
qx_ppmtx_gold_fact_inventory_transaction,dim_aircraft_key,BIGINT,qx_ppmtx_pn_inventory_history,ac,LOOKUP,"JOIN dim_aircraft ON ac"
qx_ppmtx_gold_fact_inventory_transaction,dim_station_key,BIGINT,qx_ppmtx_pn_inventory_history,location,LOOKUP,"JOIN dim_station ON location"
qx_ppmtx_gold_fact_inventory_transaction,transaction_date_key,INT,qx_ppmtx_pn_inventory_history,processed_timestamp,DERIVED_CALCULATION,"CAST(date_format(CAST(processed_timestamp AS DATE), 'yyyyMMdd') AS INT)"
qx_ppmtx_gold_fact_inventory_transaction,transaction_no,DECIMAL,qx_ppmtx_pn_inventory_history,transaction_no,DIRECT_COPY,transaction_no
qx_ppmtx_gold_fact_inventory_transaction,batch,DECIMAL,qx_ppmtx_pn_inventory_history,batch,DIRECT_COPY,batch
qx_ppmtx_gold_fact_inventory_transaction,transaction_type,STRING,qx_ppmtx_pn_inventory_history,transaction_type,DIRECT_COPY,transaction_type
qx_ppmtx_gold_fact_inventory_transaction,sn,STRING,qx_ppmtx_pn_inventory_history,sn,DIRECT_COPY,sn
qx_ppmtx_gold_fact_inventory_transaction,condition,STRING,qx_ppmtx_pn_inventory_history,condition,DIRECT_COPY,condition
qx_ppmtx_gold_fact_inventory_transaction,qty,DECIMAL,qx_ppmtx_pn_inventory_history,qty,DIRECT_COPY,qty
qx_ppmtx_gold_fact_inventory_transaction,order_type,STRING,qx_ppmtx_pn_inventory_history,order_type,DIRECT_COPY,order_type
qx_ppmtx_gold_fact_inventory_transaction,order_no,DECIMAL,qx_ppmtx_pn_inventory_history,order_no,DIRECT_COPY,order_no
qx_ppmtx_gold_fact_inventory_transaction,wo,DECIMAL,qx_ppmtx_pn_inventory_history,wo,DIRECT_COPY,wo
qx_ppmtx_gold_fact_inventory_snapshot,fact_inventory_snapshot_key,BIGINT,qx_ppmtx_pn_inventory_detail,batch,GENERATED,"HASH(batch)"
qx_ppmtx_gold_fact_inventory_snapshot,dim_part_key,BIGINT,qx_ppmtx_pn_inventory_detail,pn,LOOKUP,"JOIN dim_part ON pn"
qx_ppmtx_gold_fact_inventory_snapshot,dim_aircraft_key,BIGINT,qx_ppmtx_pn_inventory_detail,installed_ac,LOOKUP,"JOIN dim_aircraft ON installed_ac"
qx_ppmtx_gold_fact_inventory_snapshot,dim_station_key,BIGINT,qx_ppmtx_pn_inventory_detail,location,LOOKUP,"JOIN dim_station ON location"
qx_ppmtx_gold_fact_inventory_snapshot,snapshot_date_key,INT,qx_ppmtx_pn_inventory_detail,processed_timestamp,DERIVED_CALCULATION,"CAST(date_format(CAST(processed_timestamp AS DATE), 'yyyyMMdd') AS INT)"
qx_ppmtx_gold_fact_inventory_snapshot,batch,DECIMAL,qx_ppmtx_pn_inventory_detail,batch,DIRECT_COPY,batch
qx_ppmtx_gold_fact_inventory_snapshot,sn,STRING,qx_ppmtx_pn_inventory_detail,sn,DIRECT_COPY,sn
qx_ppmtx_gold_fact_inventory_snapshot,nha_pn,STRING,qx_ppmtx_pn_inventory_detail,nha_pn,DIRECT_COPY,nha_pn
qx_ppmtx_gold_fact_inventory_snapshot,nha_sn,STRING,qx_ppmtx_pn_inventory_detail,nha_sn,DIRECT_COPY,nha_sn
qx_ppmtx_gold_fact_inventory_snapshot,condition,STRING,qx_ppmtx_pn_inventory_detail,condition,DIRECT_COPY,condition
qx_ppmtx_gold_fact_inventory_snapshot,owner,STRING,qx_ppmtx_pn_inventory_detail,owner,DIRECT_COPY,owner
qx_ppmtx_gold_fact_inventory_snapshot,unit_cost,DECIMAL,qx_ppmtx_pn_inventory_detail,unit_cost,DIRECT_COPY,unit_cost
qx_ppmtx_gold_fact_inventory_snapshot,currency,STRING,qx_ppmtx_pn_inventory_detail,currency,DIRECT_COPY,currency
qx_ppmtx_gold_fact_inventory_snapshot,location,STRING,qx_ppmtx_pn_inventory_detail,location,DIRECT_COPY,location
qx_ppmtx_gold_fact_inventory_snapshot,installed_ac,STRING,qx_ppmtx_pn_inventory_detail,installed_ac,DIRECT_COPY,installed_ac
qx_ppmtx_gold_fact_inventory_snapshot,installed_position,STRING,qx_ppmtx_pn_inventory_detail,installed_position,DIRECT_COPY,installed_position
qx_ppmtx_gold_fact_inventory_control,fact_inventory_control_key,BIGINT,qx_ppmtx_pn_inventory_control,pn,GENERATED,"HASH(pn, sn, control)"
qx_ppmtx_gold_fact_inventory_control,dim_part_key,BIGINT,qx_ppmtx_pn_inventory_control,pn,LOOKUP,"JOIN dim_part ON pn"
qx_ppmtx_gold_fact_inventory_control,schedule_date_key,INT,qx_ppmtx_pn_inventory_control,schedule_date,DERIVED_CALCULATION,"CAST(date_format(CAST(schedule_date AS DATE), 'yyyyMMdd') AS INT)"
qx_ppmtx_gold_fact_inventory_control,reset_date_key,INT,qx_ppmtx_pn_inventory_control,reset_date,DERIVED_CALCULATION,"CAST(date_format(CAST(reset_date AS DATE), 'yyyyMMdd') AS INT)"
qx_ppmtx_gold_fact_inventory_control,pn,STRING,qx_ppmtx_pn_inventory_control,pn,DIRECT_COPY,pn
qx_ppmtx_gold_fact_inventory_control,sn,STRING,qx_ppmtx_pn_inventory_control,sn,DIRECT_COPY,sn
qx_ppmtx_gold_fact_inventory_control,control,STRING,qx_ppmtx_pn_inventory_control,control,DIRECT_COPY,control
qx_ppmtx_gold_fact_inventory_control,schedule_hours,DECIMAL,qx_ppmtx_pn_inventory_control,schedule_hours,DIRECT_COPY,schedule_hours
qx_ppmtx_gold_fact_inventory_control,schedule_cycles,DECIMAL,qx_ppmtx_pn_inventory_control,schedule_cycles,DIRECT_COPY,schedule_cycles
qx_ppmtx_gold_fact_inventory_control,schedule_days,DECIMAL,qx_ppmtx_pn_inventory_control,schedule_days,DIRECT_COPY,schedule_days
qx_ppmtx_gold_fact_inventory_control,actual_hours,DECIMAL,qx_ppmtx_pn_inventory_control,actual_hours,DIRECT_COPY,actual_hours
qx_ppmtx_gold_fact_inventory_control,actual_minutes,DECIMAL,qx_ppmtx_pn_inventory_control,actual_minutes,DIRECT_COPY,actual_minutes
qx_ppmtx_gold_fact_inventory_control,actual_cycles,DECIMAL,qx_ppmtx_pn_inventory_control,actual_cycles,DIRECT_COPY,actual_cycles
qx_ppmtx_gold_fact_inventory_control,actual_days,DECIMAL,qx_ppmtx_pn_inventory_control,actual_days,DIRECT_COPY,actual_days
qx_ppmtx_gold_fact_inventory_control,remaining_hours,DECIMAL,qx_ppmtx_pn_inventory_control,schedule_hours,DERIVED_CALCULATION,"schedule_hours - actual_hours"
qx_ppmtx_gold_fact_inventory_control,remaining_cycles,DECIMAL,qx_ppmtx_pn_inventory_control,schedule_cycles,DERIVED_CALCULATION,"schedule_cycles - actual_cycles"
qx_ppmtx_gold_fact_inventory_control,remaining_days,DECIMAL,qx_ppmtx_pn_inventory_control,schedule_days,DERIVED_CALCULATION,"schedule_days - actual_days"
qx_ppmtx_gold_fact_order,fact_order_key,BIGINT,qx_ppmtx_order_detail,order_number,GENERATED,"HASH(order_type, order_number, order_line)"
qx_ppmtx_gold_fact_order,dim_part_key,BIGINT,qx_ppmtx_order_detail,pn,LOOKUP,"JOIN dim_part ON pn"
qx_ppmtx_gold_fact_order,order_date_key,INT,qx_ppmtx_order_detail,processed_timestamp,DERIVED_CALCULATION,"CAST(date_format(CAST(processed_timestamp AS DATE), 'yyyyMMdd') AS INT)"
qx_ppmtx_gold_fact_order,order_type,STRING,qx_ppmtx_order_detail,order_type,DIRECT_COPY,order_type
qx_ppmtx_gold_fact_order,order_number,DECIMAL,qx_ppmtx_order_detail,order_number,DIRECT_COPY,order_number
qx_ppmtx_gold_fact_order,order_line,DECIMAL,qx_ppmtx_order_detail,order_line,DIRECT_COPY,order_line
qx_ppmtx_gold_fact_order,status,STRING,qx_ppmtx_order_detail,status,DIRECT_COPY,status
qx_ppmtx_gold_fact_order,sn,STRING,qx_ppmtx_order_detail,sn,DIRECT_COPY,sn
qx_ppmtx_gold_fact_order,batch,DECIMAL,qx_ppmtx_order_detail,batch,DIRECT_COPY,batch
qx_ppmtx_gold_fact_order,pn_description,STRING,qx_ppmtx_order_detail,pn_description,DIRECT_COPY,pn_description
qx_ppmtx_gold_fact_order,exchange_pn,STRING,qx_ppmtx_order_detail,exchange_pn,DIRECT_COPY,exchange_pn
qx_ppmtx_gold_fact_order,exchange_sn,STRING,qx_ppmtx_order_detail,exchange_sn,DIRECT_COPY,exchange_sn
qx_ppmtx_gold_fact_order,exchange_repair_cost,DECIMAL,qx_ppmtx_order_detail,exchange_repair_cost,DIRECT_COPY,exchange_repair_cost
qx_ppmtx_gold_fact_order,qty_require,DECIMAL,qx_ppmtx_order_detail,qty_require,DIRECT_COPY,qty_require
qx_ppmtx_gold_fact_order,qty_received,DECIMAL,qx_ppmtx_order_detail,qty_received,DIRECT_COPY,qty_received
qx_ppmtx_gold_fact_order,qty_available,DECIMAL,qx_ppmtx_order_detail,qty_available,DIRECT_COPY,qty_available
qx_ppmtx_gold_fact_order,lead_time,DECIMAL,qx_ppmtx_order_detail,lead_time,DIRECT_COPY,lead_time
qx_ppmtx_gold_fact_teardown,fact_teardown_key,BIGINT,qx_ppmtx_pn_tear_down_report,order_number,GENERATED,"HASH(order_type, order_number, order_line)"
qx_ppmtx_gold_fact_teardown,dim_part_key,BIGINT,qx_ppmtx_pn_tear_down_report,pn,LOOKUP,"JOIN dim_part ON pn"
qx_ppmtx_gold_fact_teardown,dim_ata_chapter_key,BIGINT,qx_ppmtx_pn_tear_down_report,,LOOKUP,"JOIN dim_ata_chapter via defect linkage"
qx_ppmtx_gold_fact_teardown,created_date_key,INT,qx_ppmtx_pn_tear_down_report,created_date,DERIVED_CALCULATION,"CAST(date_format(CAST(created_date AS DATE), 'yyyyMMdd') AS INT)"
qx_ppmtx_gold_fact_teardown,order_type,STRING,qx_ppmtx_pn_tear_down_report,order_type,DIRECT_COPY,order_type
qx_ppmtx_gold_fact_teardown,order_number,DECIMAL,qx_ppmtx_pn_tear_down_report,order_number,DIRECT_COPY,order_number
qx_ppmtx_gold_fact_teardown,order_line,DECIMAL,qx_ppmtx_pn_tear_down_report,order_line,DIRECT_COPY,order_line
qx_ppmtx_gold_fact_teardown,sn,STRING,qx_ppmtx_pn_tear_down_report,sn,DIRECT_COPY,sn
qx_ppmtx_gold_fact_teardown,batch,DECIMAL,qx_ppmtx_pn_tear_down_report,batch,DIRECT_COPY,batch
qx_ppmtx_gold_fact_teardown,fault_confirm,STRING,qx_ppmtx_pn_tear_down_report,fault_confirm,DIRECT_COPY,fault_confirm
qx_ppmtx_gold_fact_teardown,status,STRING,qx_ppmtx_pn_tear_down_report,status,DIRECT_COPY,status
qx_ppmtx_gold_fact_teardown,pn_description,STRING,qx_ppmtx_pn_tear_down_report,pn_description,DIRECT_COPY,pn_description
qx_ppmtx_gold_fact_teardown,work_done,STRING,qx_ppmtx_pn_tear_down_report,work_done,DIRECT_COPY,work_done
qx_ppmtx_gold_fact_teardown,shop_finding,STRING,qx_ppmtx_pn_tear_down_report,shop_finding,DIRECT_COPY,shop_finding
qx_ppmtx_gold_fact_teardown,defect_type,STRING,qx_ppmtx_pn_tear_down_report,defect_type,DIRECT_COPY,defect_type
qx_ppmtx_gold_fact_teardown,defect,STRING,qx_ppmtx_pn_tear_down_report,defect,DIRECT_COPY,defect
qx_ppmtx_gold_fact_teardown,defect_item,DECIMAL,qx_ppmtx_pn_tear_down_report,defect_item,DIRECT_COPY,defect_item
